,,#,#,#,#,#,,,,,,#,#,#,#, ,,,,,,,,,,,,,,,,,,,,,,#,#,#,#,#,,,#,#,,#,#,#,#,#
#,27215011,011,Item_Name_27215011,영웅 무기 도안 선택 상자 (귀속),Item_Desc_27215011,상자 안의 보상품 중 1종을 선택하여 획득,2,72,0,1,0,O,O,O,O,0,0,520010,0,99,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_023,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215011,영웅 무기 도안 선택 상자,Item_Desc_27215011,구성품 중 1종을 선택하여 획득할 수 있습니다.,0,0,0,,,,선택 상자,불가,불가,불가,불가
,27215012,012,Item_Name_27215012,캐시 장신구 선택 상자 (귀속),Item_Desc_27215012,상자 안의 보상품 중 1종을 선택하여 획득,2,72,0,1,0,O,O,O,O,0,0,520035,0,99,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_023,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215012,캐시 장신구 선택 상자,Item_Desc_27215012,구성품 중 1종을 선택하여 획득할 수 있습니다.,0,0,0,,,,선택 상자,불가,불가,불가,불가
,27215013,013,Item_Name_27215013,음식 선택 상자 (귀속),Item_Desc_27215013,상자 안의 보상품 중 1종을 선택하여 획득,2,72,0,1,0,O,O,O,O,0,0,520013,0,99,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_box_002,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215013,음식 선택 상자,Item_Desc_27215013,구성품 중 1종을 선택하여 획득할 수 있습니다.,0,0,0,,,,선택 상자,불가,불가,불가,불가
,27215014,014,Item_Name_27215014,버프 물약 상자 (귀속),Item_Desc_27215014,상자 안의 보상품 중 1종을 선택하여 획득,2,72,0,1,0,O,O,O,O,0,0,520014,0,99,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_box_002,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215014,버프 물약 상자,Item_Desc_27215014,구성품 중 1종을 선택하여 획득할 수 있습니다.,0,0,0,,,,선택 상자,불가,불가,불가,불가
,27215015,015,Item_Name_27215015,직업 버프 물약 상자 (귀속),Item_Desc_27215015,상자 안의 보상품 중 1종을 선택하여 획득,2,72,0,1,0,O,O,O,O,0,0,520015,0,99,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_box_002,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215015,직업 버프 물약 상자,Item_Desc_27215015,구성품 중 1종을 선택하여 획득할 수 있습니다.,0,0,0,,,,선택 상자,불가,불가,불가,불가
,27215020,020,Item_Name_27215020,제작 재료 선택 상자 (귀속),Item_Desc_27215020,상자 안의 보상품 중 1종을 선택하여 획득,2,72,0,1,0,O,O,O,O,0,0,520020,0,99,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_023,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215020,제작 재료 선택 상자,Item_Desc_27215020,구성품 중 1종을 선택하여 획득할 수 있습니다.,0,0,0,,,,선택 상자,불가,불가,불가,불가
,27215021,021,Item_Name_27215021,소환권 선택 상자 (11회) (귀속),Item_Desc_27215021,상자 안의 보상품 중 1종을 선택하여 획득,2,72,0,1,0,O,O,O,O,0,0,520012,0,99,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_023,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215021,소환권 선택 상자 (11회),Item_Desc_27215021,구성품 중 1종을 선택하여 획득할 수 있습니다.,0,0,0,,,,선택 상자,불가,불가,불가,불가
#,27215022,022,Item_Name_27215022,고급 주무기 도안 선택 상자 (귀속),Item_Desc_27215022,상자 안의 보상품 중 1종을 선택하여 획득,2,72,0,1,0,O,O,O,O,0,0,520021,0,99,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_023,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215022,고급 주무기 도안 선택 상자,Item_Desc_27215022,구성품 중 1종을 선택하여 획득할 수 있습니다.,0,0,0,,,,선택 상자,불가,불가,불가,불가
#,27215023,023,Item_Name_27215023,고급 보조무기 도안 선택 상자 (귀속),Item_Desc_27215023,상자 안의 보상품 중 1종을 선택하여 획득,2,72,0,1,0,O,O,O,O,0,0,520022,0,99,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_023,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215023,고급 보조무기 도안 선택 상자,Item_Desc_27215023,구성품 중 1종을 선택하여 획득할 수 있습니다.,0,0,0,,,,선택 상자,불가,불가,불가,불가
,27215028,028,Item_Name_27215028,소환권 선택 상자 (1회) (귀속),Item_Desc_27215028,상자 안의 보상품 중 1종을 선택하여 획득,2,72,0,1,0,O,O,O,O,0,0,520032,0,99,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_023,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215028,소환권 선택 상자 (1회),Item_Desc_27215028,구성품 중 1종을 선택하여 획득할 수 있습니다.,0,0,0,,,,선택 상자,불가,불가,불가,불가
,27215029,029,Item_Name_27215029,희귀 소환권 선택 상자 (1회) (귀속),Item_Desc_27215029,상자 안의 보상품 중 1종을 선택하여 획득,2,72,0,1,0,O,O,O,O,0,0,520033,0,99,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_023,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215029,희귀 소환권 선택 상자 (1회),Item_Desc_27215029,구성품 중 1종을 선택하여 획득할 수 있습니다.,0,0,0,,,,선택 상자,불가,불가,불가,불가
,27215030,030,Item_Name_27215030,고급 액티브 스킬북 I 선택상자 (귀속),Item_Desc_27215030,상자 안의 보상품 중 1종을 선택하여 획득,2,72,0,1,0,O,O,O,O,0,0,520034,0,99,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_box_010,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215030,고급 액티브 스킬북 I 선택상자,Item_Desc_27215030,구성품 중 1종을 선택하여 획득할 수 있습니다.,0,0,0,,,,선택 상자,불가,불가,불가,불가
,27215031,031,Item_Name_27215031,몬스터 수신기-라그라미아 보상 상자 Ⅰ,Item_Desc_27215031,상자 안의 보상품 중 1종을 무작위로 획득,2,71,0,1,0,O,O,O,O,0,0,510019,0,99,1000,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_006,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215031,몬스터 수신기-라그라미아 보상 상자 Ⅰ,Item_Desc_27215031,상자 안의 보상품 중 1종을 무작위로 획득,0,0,0,,,,랜덤 상자,불가,불가,불가,불가
,27215032,032,Item_Name_27215032,몬스터 수신기-라그라미아 보상 상자 Ⅱ,Item_Desc_27215032,상자 안의 보상품 중 1종을 무작위로 획득,2,71,0,2,0,O,O,O,O,0,0,510020,0,99,1000,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_006,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215032,몬스터 수신기-라그라미아 보상 상자 Ⅱ,Item_Desc_27215032,상자 안의 보상품 중 1종을 무작위로 획득,0,0,0,,,,랜덤 상자,불가,불가,불가,불가
,27215033,033,Item_Name_27215033,몬스터 수신기-데카르디 보상 상자 Ⅰ,Item_Desc_27215033,상자 안의 보상품 중 1종을 무작위로 획득,2,71,0,1,0,O,O,O,O,0,0,510021,0,99,1000,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_006,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215033,몬스터 수신기-데카르디 보상 상자 Ⅰ,Item_Desc_27215033,상자 안의 보상품 중 1종을 무작위로 획득,0,0,0,,,,랜덤 상자,불가,불가,불가,불가
,27215034,034,Item_Name_27215034,몬스터 수신기-데카르디 보상 상자 Ⅱ,Item_Desc_27215034,상자 안의 보상품 중 1종을 무작위로 획득,2,71,0,2,0,O,O,O,O,0,0,510022,0,99,1000,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_006,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215034,몬스터 수신기-데카르디 보상 상자 Ⅱ,Item_Desc_27215034,상자 안의 보상품 중 1종을 무작위로 획득,0,0,0,,,,랜덤 상자,불가,불가,불가,불가
,27215035,035,Item_Name_27215035,몬스터 수신기-샤일론 보상 상자 Ⅰ,Item_Desc_27215035,상자 안의 보상품 중 1종을 무작위로 획득,2,71,0,1,0,O,O,O,O,0,0,510031,0,99,1000,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_006,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215035,몬스터 수신기-샤일론 보상 상자 Ⅰ,Item_Desc_27215035,상자 안의 보상품 중 1종을 무작위로 획득,0,0,0,,,,랜덤 상자,불가,불가,불가,불가
,27215036,036,Item_Name_27215036,몬스터 수신기-샤일론 보상 상자 Ⅱ,Item_Desc_27215036,상자 안의 보상품 중 1종을 무작위로 획득,2,71,0,2,0,O,O,O,O,0,0,510032,0,99,1000,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_006,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215036,몬스터 수신기-샤일론 보상 상자 Ⅱ,Item_Desc_27215036,상자 안의 보상품 중 1종을 무작위로 획득,0,0,0,,,,랜덤 상자,불가,불가,불가,불가
,27215037,037,Item_Name_27215037,몬스터 수신기-화이트 혼 보상 상자 Ⅰ,Item_Desc_27215037,상자 안의 보상품 중 1종을 무작위로 획득,2,71,0,1,0,O,O,O,O,0,0,510041,0,99,1000,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_006,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215037,몬스터 수신기-화이트 혼 보상 상자 Ⅰ,Item_Desc_27215037,상자 안의 보상품 중 1종을 무작위로 획득,0,0,0,,,,랜덤 상자,불가,불가,불가,불가
,27215038,038,Item_Name_27215038,몬스터 수신기-화이트 혼 보상 상자 Ⅱ,Item_Desc_27215038,상자 안의 보상품 중 1종을 무작위로 획득,2,71,0,2,0,O,O,O,O,0,0,510042,0,99,1000,1,1000,1000,0,0,0,0,0,0,0,0,item_material_quest_006,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215038,몬스터 수신기-화이트 혼 보상 상자 Ⅱ,Item_Desc_27215038,상자 안의 보상품 중 1종을 무작위로 획득,0,0,0,,,,랜덤 상자,불가,불가,불가,불가
,27215039,039,Item_Name_27215039,고급 액티브 스킬북 II 선택상자 (귀속),Item_Desc_27215039,상자 안의 보상품 중 1종을 선택하여 획득,2,72,0,1,0,O,O,O,O,0,0,520036,0,99,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_box_010,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27215039,고급 액티브 스킬북 II 선택상자,Item_Desc_27215039,구성품 중 1종을 선택하여 획득할 수 있습니다.,0,0,0,,,,선택 상자,불가,불가,불가,불가
,27315001,001,Item_Name_27315001,일괄상자 (테스트용) (귀속),Item_Desc_27315001,상자 안의 보상품 전체를 획득,2,73,0,3,0,O,O,O,O,0,0,530000,0,30,0,1,1000,1000,0,0,0,0,0,0,0,0,item_decardi_gather_006,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27315001,일괄상자 (테스트용),Item_Desc_27315001,상자 안의 보상품 전체를 획득,0,0,0,,,,일괄 지급 상자,불가,불가,불가,불가
,27315002,002,Item_Name_27315002,찬란한 태양 팔찌 상자 (귀속),Item_Desc_27315002,음슴,2,73,0,1,0,O,O,O,O,0,0,530001,0,30,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_cash_box_001,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27315002,찬란한 태양 팔찌 상자,Item_Desc_27315002,사용 시 찬란한 태양 팔찌 1개와 영롱한 장신구 강화석 15개를 획득합니다.,0,0,0,,,,일괄 지급 상자,불가,불가,불가,불가
,27315003,003,Item_Name_27315003,싸늘한 달빛 귀걸이 (귀속),Item_Desc_27315003,음슴,2,73,0,1,0,O,O,O,O,0,0,530002,0,30,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_cash_box_002,drop_item_receiver,drop_item_aid,15,1306,Item_Name_27315003,싸늘한 달빛 귀걸이 상자,Item_Desc_27315003,사용 시 싸늘한 달빛 귀걸이 1개와 영롱한 장신구 강화석 15개를 획득합니다.,0,0,0,,,,일괄 지급 상자,불가,불가,불가,불가
,27415001,001,Item_Name_27415001,캐릭터 슬롯 해방 키 (귀속),Item_Desc_27415001,캐릭터 생성 슬롯 확장권,2,74,0,1,0,O,O,O,O,0,0,0,0,0,0,1,1000,1000,0,0,0,0,0,0,0,0,item_cha_slot_open,drop_item_receiver,drop_item_aid,15,1501,Item_Name_27415001,캐릭터 슬롯 해방 키,Item_Desc_27415001,사용 시 확장 슬롯 1개를 잠금 해제할 수 있습니다.,0,0,0,,,,캐릭터 생성 슬롯 확장권,불가,불가,불가,불가
,27515001,001,Item_Name_27515001,장비 감정 스캐너 (귀속),Item_Desc_27515001,확인되지 않은 장비의 추가 효과를 발현하는데 쓰인다.,2,75,1,1,1,O,O,O,O,0,0,7,0,0,0,1,1000,1000,0,0,0,0,0,0,0,0,item_material_identify_001,drop_item_receiver,drop_item_aid,15,1800,Item_Name_27515001,장비 감정 스캐너,Item_Desc_27515001,사물을 자세하게 분석할 수 있는 스캐너.<br>장비에 내재된 추가 효과를 발견할 수 있습니다.,0,1,1,,,,장비 감정 아이템,불가,불가,가능,가능
,27615001,001,Item_Name_27615001,라다의 독침 (귀속),Item_Desc_27615001,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_003,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615001,라다의 독침,Item_Desc_27615001,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615002,002,Item_Name_27615002,축축한 늑대 발톱 (귀속),Item_Desc_27615002,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_009,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615002,축축한 늑대 발톱,Item_Desc_27615002,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615003,003,Item_Name_27615003,흉포한 늑대 발톱 (귀속),Item_Desc_27615003,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_015,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615003,흉포한 늑대 발톱,Item_Desc_27615003,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615004,004,Item_Name_27615004,해안가 독각게의 알집 (귀속),Item_Desc_27615004,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_020,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615004,해안가 독각게의 알집,Item_Desc_27615004,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615005,005,Item_Name_27615005,평원 헬코브라의 가죽 (귀속),Item_Desc_27615005,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_001,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615005,평원 헬코브라의 가죽,Item_Desc_27615005,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615006,006,Item_Name_27615006,협곡 디노의 오염된 식수통 (귀속),Item_Desc_27615006,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_010,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615006,협곡 디노의 오염된 식수통,Item_Desc_27615006,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615007,007,Item_Name_27615007,오니암의 돌 (귀속),Item_Desc_27615007,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_020,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615007,오니암의 돌,Item_Desc_27615007,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615008,008,Item_Name_27615008,그람린의 생기넘치는 털 (귀속),Item_Desc_27615008,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_022,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615008,그람린의 생기넘치는 털,Item_Desc_27615008,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615009,009,Item_Name_27615009,힘에 만취한 그렘의 크고 빛나는 무기 (귀속),Item_Desc_27615009,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_024,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615009,힘에 만취한 그렘의 크고 빛나는 무기,Item_Desc_27615009,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615010,010,Item_Name_27615010,뇌전사 제어 칩 (귀속),Item_Desc_27615010,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_033,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615010,뇌전사 제어 칩,Item_Desc_27615010,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615011,011,Item_Name_27615011,뇌전사 제어신호 발신기 (귀속),Item_Desc_27615011,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_034,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615011,뇌전사 제어신호 발신기,Item_Desc_27615011,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615012,012,Item_Name_27615012,사나운 백호 송곳니 (귀속),Item_Desc_27615012,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_010,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615012,사나운 티그리스 송곳니,Item_Desc_27615012,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615013,013,Item_Name_27615013,해안가 독전갈 집게발 (귀속),Item_Desc_27615013,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_018,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615013,해안가 독전갈 집게발,Item_Desc_27615013,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615014,014,Item_Name_27615014,해안가 라다의 독침 (귀속),Item_Desc_27615014,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_003,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615014,해안가 라다의 독침,Item_Desc_27615014,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615015,015,Item_Name_27615015,고지대 꼬챙이할퍼의 손톱 (귀속),Item_Desc_27615015,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_027,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615015,고지대 꼬챙이할퍼의 손톱,Item_Desc_27615015,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615016,016,Item_Name_27615016,고지대 라다의 피뢰침 (귀속),Item_Desc_27615016,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_003,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615016,고지대 라다의 피뢰침,Item_Desc_27615016,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615017,017,Item_Name_27615017,침묵의 꼬챙이할퍼의 손톱 (귀속),Item_Desc_27615017,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_026,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615017,침묵의 꼬챙이할퍼의 손톱,Item_Desc_27615017,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615018,018,Item_Name_27615018,해변의 꼬챙이할퍼의 손톱 (귀속),Item_Desc_27615018,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_026,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615018,해변의 꼬챙이할퍼의 손톱,Item_Desc_27615018,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615019,019,Item_Name_27615019,회수병 철퇴카발의 가죽 (귀속),Item_Desc_27615019,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_005,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615019,회수병 철퇴카발의 가죽,Item_Desc_27615019,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615020,020,Item_Name_27615020,언덕의 매드사이보그의 코어 (귀속),Item_Desc_27615020,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_030,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615020,언덕의 매드사이보그의 코어,Item_Desc_27615020,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615021,021,Item_Name_27615021,공격대 매드사이보그의 코어 (귀속),Item_Desc_27615021,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_036,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615021,공격대 매드사이보그의 코어,Item_Desc_27615021,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615022,022,Item_Name_27615022,회수대장 철퇴카발의 가죽 (귀속),Item_Desc_27615022,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_003,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615022,회수대장 철퇴카발의 가죽,Item_Desc_27615022,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615023,023,Item_Name_27615023,다 쓴 다크솔져 배터리팩 (귀속),Item_Desc_27615023,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_023,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615023,다 쓴 다크솔져 배터리팩,Item_Desc_27615023,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615024,024,Item_Name_27615024,데빌자이언트의 등껍질 (귀속),Item_Desc_27615024,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_002,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615024,데빌자이언트의 등껍질,Item_Desc_27615024,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615025,025,Item_Name_27615025,충전된 다크솔져 배터리팩 (귀속),Item_Desc_27615025,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_006,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615025,충전된 다크솔져 배터리팩,Item_Desc_27615025,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615026,026,Item_Name_27615026,프로자이언트의 뿔 (귀속),Item_Desc_27615026,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_016,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615026,프로자이언트의 뿔,Item_Desc_27615026,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615027,027,Item_Name_27615027,바닷가 갑게의 집게 (귀속),Item_Desc_27615027,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_019,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615027,바닷가 갑게의 집게,Item_Desc_27615027,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615028,028,Item_Name_27615028,협곡 스티라코노이드의 가시 (귀속),Item_Desc_27615028,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_005,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615028,협곡 스티라코노이드의 가시,Item_Desc_27615028,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615029,029,Item_Name_27615029,흥분한 티라노이드의 이빨 (귀속),Item_Desc_27615029,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_010,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615029,흥분한 티라노이드의 이빨,Item_Desc_27615029,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615030,030,Item_Name_27615030,커다란 렉스로이드의 가죽 (귀속),Item_Desc_27615030,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_decardi_quest_003,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615030,커다란 렉스로이드의 가죽,Item_Desc_27615030,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
,27615031,031,Item_Name_27615031,불안한 랩터로이드의 발톱 (귀속),Item_Desc_27615031,퀘스트 아이템,3,76,0,1,1,O,O,O,O,0,0,0,0,0,0,1,100,1000,0,0,0,0,0,0,0,0,item_material_quest_015,drop_item_receiver,drop_item_aid,15,10000,Item_Name_27615031,불안한 랩터로이드의 발톱,Item_Desc_27615031,누군가 필요로 할 것 같은 아이템.,0,0,1,,,,퀘스트 아이템,불가,불가,불가,가능
